HashTag,Count
#alzheimer,2449
#celiachia,1941
#allergia,1024
#vaccini,678
#salute,548
#glutenfree,528
#influenza,504
#aic,489
#vaccino,480
#senzaglutine,386
#glutine,339
#medicina,323
#novartis,322
#news,318
#sapevatelo,316
#5x1000,252
#berlusconi,222
#aids,217
#1share1condom,177
#celiaci,169
#italia,151
#lecosechenonvorrestisapere,144
#buongiorno,142
#ff,133
#hiv,124
#monti,118
#natale,115
#primavera,114
#notizie,113
#salud,110
#sanità,99
#emiliaromagna,94
#ricette,91
#terremoto,89
#ricerca,88
#cucina,85
#cronaca,85
#milano,83
#serviziopubblico,72
#demenza,72
#dalert,72
#truestory,66
#rileggint,66
#infezione,65
#alimentazione,65
#lol,64
#lecosechenonvorrestimaisapere,64
#autismo,64
#hpv,62
#fuck,62
#breakingnews,61
#portaaporta,59
#dieta,59
#cervello,59
#scienza,58
#sanremo,57
#cosedellinfanzia,57
#calcio,57
#allergie,57
#roma,55
#intolleranze,55
#fb,55
#usa,53
#twitter,52
#lamemoriaeselcamino,52
#keepfighthing,52
#infezioni,49
#gluten,49
#ancoratu,49
#equitalia,48
#toscana,47
#pb2012,45
#ironorehopper,45
#dietas,45
#belleza,45
#torino,44
#silvio,43
#pakistan,43
#ecm,43
#lazio,42
#iphone5,42
#firenze,42
#calabria,42
#puglia,41
#bambini,41
#controiltetano,40
#antidolorifici,40
#oms,39
#genoma,39
#polline,38
#lombardia,38
#memoria,37
#lemiepiùgrandifiguredimerda,37
#dosnodiscuten,37
#diritti,37
#app,37
#ansa,37
#alzuniversal,37
#fornero,36
#demensia,36
#cervelliamo,36
#antistaminico,36
#sicilia,35
#genova,35
#euro2012,35
#tumore,34
#medicochirurgo,34
#marzo,34
#crisi,34
#buonanotte,34
#vergogna,33
#curiosidades,33
#vaccinazioni,32
#sonoceliacononmalato,32
#siria,32
#napoli,32
#morivaoggi,32
#lavororomanzato,32
#fanculo,32
#fail,32
#facebook,32
#antistaminici,32
#xf6,31
#sediventassifamosa,31
#rieccolo,31
#farmacia,31
#coronavirus,31
#100thingsaboutme,31
#virus,30
#nuoveleggidimurphy,30
#comoolvidarcuando,30
#vino,29
#test,29
#palermo,29
#modena,29
#celiaco,29
#balotelli,29
#aifa,29
#sport,28
#primolevi,28
#off,28
#campania,28
#blitz,28
#aiuto,28
#sassari,27
#polverini,27
#perugia,27
#help,27
#budan,27
#awtour,27
#veneto,26
#sardegna,26
#pizza,26
#parkinson,26
#np,26
#mirandola,26
#meacuerdocuando,26
#greysanatomy,26
#cosebuone,26
#altoadige,26
#valgardena,25
#tecnologia,25
#report,25
#prevenzione,25
#kiev,25
#in,25
#chirurgia,25
#cagliari,25
#animali,25
#wow,24
#ue,24
#solocosebelle,24
#renzi,24
#politica,24
#pdl,24
#nwo,24
#kopi,24
#h5n1,24
#h3n2v,24
#bologna,24
#trentino,23
#teamfollowback,23
#rockeconomy,23
#raffreddore,23
#mistero,23
#gf,23
#filmmalati,23
#fd,23
#etciù,23
#diagnosi,23
#android,23
#sicurezza,22
#rt,22
#piazzapulita,22
#perdutamente,22
#online,22
#farmaci,22
#dash,22
#cani,22
#anziani,22
#soncose,21
#nonlovoto,21
#mmorpg,21
#memoriesarekillingme,21
#hype,21
#helpme,21
#health,21
#farmaco,21
#benessere,21
#vogliamozero,20
#twittaserie,20
#tumori,20
#perdire,20
#malattia,20
#grillo,20
#eventi,20
#corsi,20
#brescia,20
#birra,20
#wired,19
#piemonte,19
#ottoemezzo,19
#on,19
#nondimenticarechidimentica,19
#montalcini,19
#latte,19
#giornatadellamemoria,19
#dore,19
#dementia,19
#antidolorifico,19
#stres,18
#recuerdascuando,18
#quelliche,18
#gratis,18
#glee,18
#faiunadomandaalpapa,18
#dolci,18
#diabete,18
#cioccolato,18
#bossi,18
#ayuda,18
#asl,18
#aied,18
#8marzo,18
#wellness,17
#wad2012,17
#sonno,17
#società,17
#salerno,17
#merkel,17
#merda,17
#mafia,17
#js,17
#iostoconsilvio,17
#foodblogger,17
#fondi,17
#cosasquenoolvidaredel2012,17
#cit,17
#celiaca,17
#blog,17
#aviaria,17
#antinfluenzale,17
#tgla7,16
#tfb,16
#tequieropero,16
#stress,16
#sintomi,16
#signum,16
#sallo,16
#primarie,16
#polio,16
#odio,16
#mandela,16
#maledettaprimavera,16
#italy,16
#gabrielgarciamarquez,16
#ferrara,16
#febbre,16
#f1,16
#equitaliasanguisuga,16
#elmaldelcerebro,16
#crucell,16
#chavez,16
#balduzzi,16
#15factsaboutme,16
#worldaidsday,15
#ultimora,15
#twittamidinotte,15
#sus,15
#psicologia,15
#pollini,15
#notte,15
#nonsolungiornodellamemoria,15
#m5s,15
#lega,15
#irispress,15
#glutenfreefest,15
#fumo,15
#film,15
#farmacisti,15
#convegno,15
#congressi,15
#celentano,15
#brasileiro,15
#bastastragi,15
#wtf,14
#video,14
#valentinavezzali,14
#vaccinazione,14
#smartphone,14
#sappiatelo,14
#saludyvida,14
#personechetifannodomandestupide,14
#offline,14
#neurologia,14
#napolitano,14
#mamme,14
#malattie,14
#festival,14
#festa,14
#estate,14
#donne,14
#dolore,14
#corriere,14
#coma,14
#campodigrano,14
#bestmemories2012,14
#ballarò,14
#amici,14
#alimenti,14
#varese,13
#svizzera,13
#sosorry,13
#pd,13
#paura,13
#padova,13
#ogm,13
#noesgorda,13
#nicotina,13
#news24,13
#musictherapy,13
#ministero,13
#malware,13
#lavoro,13
#infermiere,13
#greciasenzamedicine,13
#gossipgirl,13
#food,13
#filmdavecchi,13
#colon,13
#celebrity,13
#vaffanculo,12
#unaids,12
#talebani,12
#scandalo,12
#rimini,12
#rimedidellanonna,12
#ricette_e_gastronomia,12
#realtime,12
#odioprofondo,12
#miricordoquando,12
#lacelluliteèunamalattia,12
#disabili,12
#declino,12
#cosesudime,12
#chefacevi,12
#celiac,12
#cav,12
#cassazione,12
#cancer,12
#cambiamoilfinale,12
#attualità,12
#assange,12
#asroma,12
#ambrosia,12
#alexmatririmaniallajuve,12
#50factsaboutme,12
#weloveyou,11
#venezuela,11
#uomini,11
#unicef,11
#tg2,11
#save194,11
#sacconi,11
#rai3,11
#opencamera,11
#nutella,11
#montanelli,11
#keepfighting,11
#influenzali,11
#india,11
#incamerunconclaudia,11
#garantito,11
#feriteperlapace,11
#epicentro,11
#elesicilia,11
#einvece,11
#datasana,11
#como,11
#chepalle,11
#cazzo,11
#cacao,11
#bestemmie,11
#basilicata,11
#associazione,11
#alessandrafarkas,11
#5demesdéfauts,11
#20factsaboutme,11
#vita,10
#vicenza,10
#vergognasulpapa,10
#vacanze,10
#ultimaparola,10
#twitandshout,10
#teacuerdasque,10
#rieti,10
#pretoria,10
#openlazio,10
#onedfacts,10
#odiofacebookperchè,10
#nelson,10
#morte,10
#mattinieri,10
#mare,10
#maratona,10
#maledetta,10
#love,10
#lemiecinquepiùgrandipaure,10
#jkthealth,10
#italiaatavola,10
#iphone,10
#iostoconmarco,10
#inonda,10
#giornata,10
#gayahidup,10
#frosinone,10
#esteri,10
#dsglutenfree,10
#domenicalive,10
#dolce,10
#degustazione,10
#celia,10
#cancro,10
#buonipasto,10
#bari,10
#alzheimers,10
#25cosasacercademi,10
#2012,10
#zirtec,9
#welfare,9
#uk,9
#studikes,9
#sonar,9
#solitudine,9
#sclerosimultipla,9
#ritirati,9
#ristoranti,9
#querecuerdos,9
#positivi,9
#polmoni,9
#peatonsinsuerte,9
#pdc,9
#parma,9
#papilloma,9
#omeopatia,9
#muoio,9
#momentosquenuncaolvidare,9
#meningite,9
#maspeligrosoque,9
#mangiare,9
#malaria,9
#losapevichesilvio,9
#londra,9
#locali,9
#lista,9
#liguria,9
#lecco,9
#italylovesbieber,9
#intolleranza,9
#hitech,9
#gravidanza,9
#ginnaste,9
#gelato,9
#foto,9
#forum,9
#facepalm,9
#epatite,9
#emergenza,9
#donna,9
#divieto,9
#cominciamobene,9
#colazione,9
#catania,9
#caldo,9
#buonenotizie,9
#bersani,9
#bene,9
#asma,9
#antinfluenzali,9
#ansia,9
#agenda21,9
#africa,9
#1caffè,9
#vegan,8
