HashTag,Count
#sanremo2013,64809
#sanremo,28094
#sanctusremus,16456
#crozza,7116
#sanremo13,4440
#spamremo,1975
#occupysanremo,1269
#marcomengoniasanremo,1202
#berlusconi,1129
#mengoni,1106
#chiara,984
#fazio,871
#sarèmo,809
#littizzetto,748
#papa,700
#martasuitubi,660
#gualazzi,656
#sactusremus,636
#rt,530
#silvestri,512
#sapevatelo,487
#marianazionale,482
#festival,482
#cutugno,353
#sanremochefa,351
#chiaraasanremo,345
#sanctumremus,337
#celticjuve,323
#fanremo,282
#juventus,281
#spotify,276
#totocutugno,266
#juve,260
#sanemo2013,251
#bersani,248
#mammeasanremo,247
#musica,237
#toto,229
#rai,227
#litizzetto,225
#coprofagia,218
#molinari,214
#saneremo2013,207
#festivaldisanremo,202
#vivosanrem8,201
#danielesilvestri,193
#monti,191
#chesanremochefa,185
#succedeasanremo,179
#franremo,179
#xf6,171
#marcomengoni,170
#rai1,168
#elezioni2013,160
#verdi,159
#socialtv,158
#sanctusfestival,158
#eurovision,157
#italia,156
#pomeriggio5,154
#m5s,149
#gioia,145
#grecia,142
#tsunamitour,140
#sorellekermesse,128
#buonanotte,122
#fb,121
#champions,118
#xfactor,116
#italiangleeksneedadate,116
#dimissionipapa,113
#ariston,113
#lucianina,112
#tv,109
#legalizelove,109
#armatarossa,109
#crisi,107
#perdire,106
#felix,102
#twitter,101
#saremo,101
#gay,100
#mps,99
#ingroia,97
#grillo,95
#wr8sanremo,92
#sancturemus,91
#lessenziale,91
#italiagiusta,91
#fare2013,88
#euro,87
#simonamolinari,86
#news,86
#blogsanremo,86
#coconuda,85
#baumgartner,85
#europa,84
#parodi,79
#tvoi,74
#salastampa,73
#pinocchioamasanremo,73
#italy,73
#skyucl,72
#cotugno,72
#chiaragaliazzo,72
#sanemo2013relaxplease,71
#bellissimo,68
#10punti,68
#cincotti,66
#sky,65
#sicilia,65
#sanremofighi,65
#totocotugno,63
#castigasanremo,63
#100anni,63
#sanremosulsofà,62
#radioitaliasanremo,62
#nazionale,62
#greciacensurata,62
#sanremo12,61
#politica,61
#thevoice,60
#silvio,60
#ballarò,60
#wild,59
#vespa,59
#sanremo2,59
#ogbonna,59
#gossip,58
#escita,58
#samremo2013,57
#pubblicità,57
#aboccachiusa,56
##sanremo2013,56
#tatangelo,55
#stilsita,55
#lucianalittizzetto,55
